success,trial_type,trial_index,time_elapsed,internal_node_id,ID,condition,StartTime,EndTime,task,view_history,rt,response,ref_text,intro_text,challenge_text,resolve_text,writing_txt,writing_duration_rt,pre_writing_pause,stimulus
1,preload,0,16,0.0-0.0,5127776,structured,2025/8/8 11:31,2025/8/8 11:51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,2742,0.0-1.0,5127776,structured,2025/8/8 11:31,2025/8/8 11:51,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,113861,0.0-2.0,5127776,structured,2025/8/8 11:31,2025/8/8 11:51,structure_outline_inst_tl,Array,111118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,survey-html-form,3,593863,0.0-3.0,5127776,structured,2025/8/8 11:31,2025/8/8 11:51,structure_outline_task,NULL,NULL,Array,なし,静かな港町に住む青年カイは、祖父から受け継いだ古い羅針盤を手にしていた,羅針盤が指す方角は、ものすごい嵐が起きる海域で、船に乗る者は全員行方不明になると恐れられていた,カイは特殊能力を持つ仲間を信じ、協力して困難をはねのけて、嵐の先にたどり着き、とてつもない財宝を手に入れた,NULL,NULL,NULL,NULL
NULL,instructions,4,643623,0.0-4.0,5127776,structured,2025/8/8 11:31,2025/8/8 11:51,main_task_inst_tl,Array,49759,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,5,1202638,0.0-5.0,5127776,structured,2025/8/8 11:31,2025/8/8 11:51,writing_block,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"港町に暮らす青年カイは、祖父から受け継いだ古い羅針盤を持っていた。この羅針盤は、選ばれしものに試練と褒美を与えてくれるという言い伝えがあった。針はある日、みんなから恐れられる「黒嵐の海」をまっすぐ示すしていた。

　カイは炎を操るエリン、海中を泳ぐトウマ、風を読むミラと出航した。嵐の中、氷塊や巨大な渦が行く手を阻むが、仲間の力を合わせ突破した。

　嵐の先には黄金の島と財宝が眠っており、カイたちは無事に全ての財宝を持ち帰って財政難だった港町を救う。夜には宴がひらかれて皆喜んだ。ふと、カイが羅針盤に目をやると、羅針盤は再び別の方角を指し、次の冒険を告げていた。

",559015,192240,NULL
NULL,html-keyboard-response,6,1204917,0.0-6.0,5127776,structured,2025/8/8 11:31,2025/8/8 11:51,debrief,NULL,2278, ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>
1,preload,0,5,0.0-0.0,201371,structured,2025/8/8 11:32,2025/8/8 11:51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,8288,0.0-1.0,201371,structured,2025/8/8 11:32,2025/8/8 11:51,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,122267,0.0-2.0,201371,structured,2025/8/8 11:32,2025/8/8 11:51,structure_outline_inst_tl,Array,113978,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,survey-html-form,3,602269,0.0-3.0,201371,structured,2025/8/8 11:32,2025/8/8 11:51,structure_outline_task,NULL,NULL,Array,なし,"山間の小さな集落に、生まれつき右の翼が少しだけ短いカラス、が住んでいた
他のカラスたちのように速く、高く飛ぶことができず、いつも群れの後ろを飛んでいた","大移動の日、右の翼が少しだけ短いカラスは必死に皆についていこうとするが、他のカラスたちよりも体力を消耗してしまう
翼の怪我も悪化し、彼はたどり着いた見知らぬ森で動けなくなってしまう","速く飛ぶことはできなくても、森の動物たちが知らなかった食料の場所を持ち前の観察力で探し出す
傷ついた翼でも安全に移動できるルートを独自に見つけ、ついに南の森にたどり着く
",NULL,NULL,NULL,NULL
NULL,instructions,4,668845,0.0-4.0,201371,structured,2025/8/8 11:32,2025/8/8 11:51,main_task_inst_tl,Array,66575,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,5,1180276,0.0-5.0,201371,structured,2025/8/8 11:32,2025/8/8 11:51,writing_block,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"カラスは、右の翼がわずかに短いため、他の仲間たちのように速く、高く飛べませんでした。いつも群れの後ろを飛び、見慣れた山間の集落で物思いにふけるのが彼の日常でした。

ある年、厳しい冬が訪れる兆しが見え、群れは温暖な南の森への大移動を決意します。カラスも必死に皆についていこうとしますが、体力はみるみるうちに消耗していきました。そして、旅の途中で嵐に遭い、ついに群れからはぐれてしまいます。傷ついた翼はさらに痛みを増し、たどり着いた見知らぬ森で動けなくなってしまいました。

絶望に打ちひしがれるカラスでしたが、故郷の集落で培われた鋭い観察力が彼を救います。他の動物たちが見向きもしない、人間の残した食べ物のありかを彼は知っていました。また、速く飛べない代わりに、彼は地面を歩き、低い木々を伝い、傷ついた翼でも安全に移動できる独自のルートを見つけ出します。そうして、彼はついに南の森へとたどり着くのです。

遅れて到着したカラスは、群れの仲間たちを驚かせました。彼がもたらした、人間の知恵を活かした食料の知識は、皆の食卓を豊かにし、カラスはいつしか群れの中で、なくてはならない存在になっていきました。彼の弱点だった翼は、彼が自分だけの強みを見つけるための、かけがえのない道しるべとなったのでした。",511430,222787,NULL
NULL,html-keyboard-response,6,1184542,0.0-6.0,201371,structured,2025/8/8 11:32,2025/8/8 11:51,debrief,NULL,4265, ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>
1,preload,0,55,0.0-0.0,4270487,structured,2025/8/8 11:31,2025/8/8 11:53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,2704,0.0-1.0,4270487,structured,2025/8/8 11:31,2025/8/8 11:53,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,46779,0.0-2.0,4270487,structured,2025/8/8 11:31,2025/8/8 11:53,structure_outline_inst_tl,Array,44074,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,survey-html-form,3,526783,0.0-3.0,4270487,structured,2025/8/8 11:31,2025/8/8 11:53,structure_outline_task,NULL,NULL,Array,なし,普段は都会でサラリーマンとして仕事に忙殺される毎日を過ごしているが、ふとした時に長期休暇を取って日々の疲れをいやすために一人で旅に出かける。時間には余裕があるので自分で車を運転せず、のんびり鉄道で旅をしようと決めて出発した。,"途中まで順調に進んでいたが、とあるローカル線で乗ろうとしていた電車が災害のため運休していたためバスなどのほかの移動方法がないか探していた。
タクシーは呼べば来るが正直いくらかかるかわからずそこまでの余裕はない。",目的地方面へ行くバスが見つからず、駅で途方に暮れていた。夕方になりあきらめて自宅に戻ろうかと思っていたところ居合わせた現地の人に声をかけられた。事情を話したところたまたま目的地方面に住んでいるので買えるついでに車に乗せてくれて目的地近くまで無事に到着することができた,NULL,NULL,NULL,NULL
NULL,instructions,4,545927,0.0-4.0,4270487,structured,2025/8/8 11:31,2025/8/8 11:53,main_task_inst_tl,Array,19143,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,5,1277200,0.0-5.0,4270487,structured,2025/8/8 11:31,2025/8/8 11:53,writing_block,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"私は都内の企業に勤めている市がないサラリーマンだ。毎日残業が多くやりがいはあるものの疲れがたまる一方の毎日を過ごしている。
先日大きなプロジェクトを終わらせたこともあり長期の休暇を取ってふと一人旅に出かけることにした。
時間に余裕があるので車を運転しての移動より普段はあまり使わないローカル線でののんびりとした旅をすることにした。

出発してしばらくは順調に旅程を進めることが出来たが、とある地方のローカル線でたまたま運悪く運休している区間がありその先に進むことが出来なくなった。
タクシーを拾って運休区間を進もうかと思ったが、結構な距離があり土地勘もないので費用面で難しいと感じバスなどの公共交通機関や振り替えがないかと方々問い合わせていると徐々に日が暮れてきた。
仮にバス路線があったとしても田舎であれば最終便時間も早いだろうし土地勘のない停留所で終点になったら目も当てられない。
ちょっと無計画な旅だったかと後悔しつつあきらめて岐路につくべきか悩んでいたところたまたま居合わせた地元民と思われる人にどうしたのかと声をかけられた。
事情を説明して旅をあきらめようかと話したところたまたま目的地方面に住んでいるということで車に乗せてもらえることになった。
せっかく旅に来てくれたのなら楽しんでほしいと優しい言葉をかけてもらいとても暖かい気森になった。",731272,35933,NULL
NULL,html-keyboard-response,6,1281709,0.0-6.0,4270487,structured,2025/8/8 11:31,2025/8/8 11:53,debrief,NULL,4507, ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>
1,preload,0,14,0.0-0.0,5227688,structured,2025/8/8 11:32,2025/8/8 11:55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,3409,0.0-1.0,5227688,structured,2025/8/8 11:32,2025/8/8 11:55,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,101281,0.0-2.0,5227688,structured,2025/8/8 11:32,2025/8/8 11:55,structure_outline_inst_tl,Array,97870,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,survey-html-form,3,581286,0.0-3.0,5227688,structured,2025/8/8 11:32,2025/8/8 11:55,structure_outline_task,NULL,NULL,Array,なし,定年退職した男は山登りに憧れを抱いていたが、若い頃から体が弱くチャレンジできないでいた。しかし、退職を機に思い切って富士山登山に挑戦してみることにした。,高地順応するためのトレーニングが半年は必要と聞いて、まずは1時間のウォーキングから始める男。しかし30分程でバテテしまう。根本的な体力作りが必要と感じた男は、食生活、筋トレ、山へ挑む心構えを身をもって勉強していく。,トレーニングの成果で長時間の登山にも耐えられる体力を身につけた男。若干の不安を抱きつつも、憧れの富士山登山に挑戦する。途中、悪天候に見舞われながらも無事登頂し御来光を拝むことが出来た。男の心は何とも言えない達成感と夢を叶えた喜びでいっぱいだった。,NULL,NULL,NULL,NULL
NULL,instructions,4,635755,0.0-4.0,5227688,structured,2025/8/8 11:32,2025/8/8 11:55,main_task_inst_tl,Array,54463,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,5,1405533,0.0-5.0,5227688,structured,2025/8/8 11:32,2025/8/8 11:55,writing_block,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"山野ノボル60歳は定年退職を機に、憧れだった富士山登山に挑戦してみることにした。若い頃からひ弱で体力面には自信がなかったが、テレビや本の影響で富士山登山への思いは強まるばかり。
不安と期待を抱きつつ、山登りへの準備をすすめることにした。まずは体力作りのために1時間のウォーキングをすることにしたノボル。しかし思いの外、体力を消耗し30分歩くだけでバテテしまった。このままでは富士山どころではない。まずは体力作り、食事面などを見直すことにした。少しずつ体力を強化していくノボル。1時間のウォーキングもへばらずこなせるようになり、食後のプロテインを摂取したり余念がない。登山用グッズも揃えた。富士山へ挑む日が近づいていた。ついに富士山登山へ挑むノボル。不安と緊張、興奮を胸に一歩一歩登っていく。途中、雨に見舞われたりしながらも自分のペースを守り無事登頂を果たす。そんなノボルの努力に応えるように御来光も綺麗に現れ、感無量のノボル。今までのトレーニングは無駄ではなかったと喜びに浸るのであった。下山したノボルは小腹が空いていたので、食堂でおでんとビールを堪能。おでんに入っていたウィンナーがタコさんウィンナーになっていて、ちょっとほっこりするのだった。",769776,14616,NULL
NULL,html-keyboard-response,6,1409013,0.0-6.0,5227688,structured,2025/8/8 11:32,2025/8/8 11:55,debrief,NULL,3477, ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>
1,preload,0,15,0.0-0.0,5231896,structured,2025/8/8 11:32,2025/8/8 11:57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,15529,0.0-1.0,5231896,structured,2025/8/8 11:32,2025/8/8 11:57,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,183840,0.0-2.0,5231896,structured,2025/8/8 11:32,2025/8/8 11:57,structure_outline_inst_tl,Array,168309,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,survey-html-form,3,663848,0.0-3.0,5231896,structured,2025/8/8 11:32,2025/8/8 11:57,structure_outline_task,NULL,NULL,Array,なし,ここ最近元気のない森がありました。その森を元気にするために立ち上がる少年がいました。,その活動をしようとし始めた最中、一人の少女に出会った。その少女によれば、森を助けることができるアイテムがある場所を知っているという。そして一緒に行くことになった。行くと実際に助けられるアイテムがあったのだが、見つけた途端、急に「それは私の物だ。」と少女が言い出して揉める事になった。,そのうち、そのアイテムがきらりと眩しい光を放ち始めました。二人でびっくりしていると、その光が今来た森の方角を差していて、背中を押されたかのように、二人で確認しに行くと、さっきまでの森ではなく、元気を取り戻した力強い森になっていました。先ほどのケンカがウソのように、二人で手に手をとって喜び合いました。,NULL,NULL,NULL,NULL
NULL,instructions,4,720303,0.0-4.0,5231896,structured,2025/8/8 11:32,2025/8/8 11:57,main_task_inst_tl,Array,56454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,5,1446743,0.0-5.0,5231896,structured,2025/8/8 11:32,2025/8/8 11:57,writing_block,NULL,NULL,NULL,NULL,NULL,NULL,NULL,生まれからずっとともに携わってい来たこの森を少しでも元気にするために、どうしても動きたくなった少年が、何かやり方がないのか、必死に考えていた。途方に暮れていたが、少女に出会った。その少女も同じ考えで、一緒に行動する事になった。その少女は助けられるアイテムを知っているという事で、一緒に探しに行きました。すぐに見つける事が出来ましたが、見つかった途端に、そのアイテムの権利のケンカに発展してしまいました。一緒に解決するつもりだったのに、けんかになってしまって、居心地の悪い感じになりました。二人でもめている最中に、キラッそのアイテムが光り始めて、一筋の光の筋が伸びていきました。驚いて顔を見合わせていると、その光の先に行きたくなって、背中を押されるように、二人で見に行くと、さっきまでの森ではなくなって、昔の一番元気があった頃の森になっていて、二人ともとても喜びました。ケンカも気付いたら辞めていて、それからずっと二人とも仲良く森で過ごすことになりました。,726438,27581,NULL
NULL,html-keyboard-response,6,1449645,0.0-6.0,5231896,structured,2025/8/8 11:32,2025/8/8 11:57,debrief,NULL,2900, ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>
1,preload,0,247,0.0-0.0,5860381,structured,2025/8/8 11:37,2025/8/8 11:56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,5272,0.0-1.0,5860381,structured,2025/8/8 11:37,2025/8/8 11:56,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,145936,0.0-2.0,5860381,structured,2025/8/8 11:37,2025/8/8 11:56,structure_outline_inst_tl,Array,140659,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,survey-html-form,3,625997,0.0-3.0,5860381,structured,2025/8/8 11:37,2025/8/8 11:56,structure_outline_task,NULL,NULL,Array,なし,馬券を購入した。しっかり予想をしたのでかなり自信がある。とても楽しみだ。,しかし、馬券を間違って買っていたことに後から気づいた。絶望的だ。,絶望感に苛まれて諦めていたら、間違って買った馬券が見事的中した。,NULL,NULL,NULL,NULL
NULL,instructions,4,672981,0.0-4.0,5860381,structured,2025/8/8 11:37,2025/8/8 11:56,main_task_inst_tl,Array,46968,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,5,1156958,0.0-5.0,5860381,structured,2025/8/8 11:37,2025/8/8 11:56,writing_block,NULL,NULL,NULL,NULL,NULL,NULL,NULL,馬券を購入した。事前にしっかりと予想をしたのでかなり自信がありとても楽しみだ。自分が購入した馬券を見てみると、予想した馬とは別な馬を購入していたことに気づいた。間違って購入してしまったのだ。絶望感に苛まれながら諦めモードでレースを見ていたら、なんと間違って購入した馬券が的中していた。,483963,17452,NULL
NULL,html-keyboard-response,6,1165735,0.0-6.0,5860381,structured,2025/8/8 11:37,2025/8/8 11:56,debrief,NULL,8766, ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>
1,preload,0,58,0.0-0.0,4409144,structured,2025/8/8 11:36,2025/8/8 11:58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,5022,0.0-1.0,4409144,structured,2025/8/8 11:36,2025/8/8 11:58,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,182942,0.0-2.0,4409144,structured,2025/8/8 11:36,2025/8/8 11:58,structure_outline_inst_tl,Array,177915,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,survey-html-form,3,662966,0.0-3.0,4409144,structured,2025/8/8 11:36,2025/8/8 11:58,structure_outline_task,NULL,NULL,Array,なし,"・勉強が苦手な主人公のまみはテストで良い点を取ることを目標としていた時に道端で「勉強ができる鉛筆」と書かれた鉛筆を拾う。
・世界平和を考える直樹が戦争について研究をしていたところ、夢で戦地に突然行くことになる。","・「勉強ができる鉛筆」を使って学校での予習や復習をしてもなかなか勉強が分からず悩む。勉強ができない自分に苛立ちを感じながらも、先生や友達に分からないことを聞いてなんとか勉強に取り組む。
・戦地では本や映像で見た戦争の世界よりも悲惨な現状を目の当たりにし、絶望を感じる。",・まみは着実に勉強の基本を身に着けることができるようになり、「勉強ができる鉛筆」を使わなくてもテストで良い点が取れるようになった。,NULL,NULL,NULL,NULL
NULL,instructions,4,739301,0.0-4.0,4409144,structured,2025/8/8 11:36,2025/8/8 11:58,main_task_inst_tl,Array,76299,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,5,1298187,0.0-5.0,4409144,structured,2025/8/8 11:36,2025/8/8 11:58,writing_block,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"勉強が苦手な小学三年生のまみは、どうしたらテストで良い点が取れるか悩んでいた。ある日、学校の帰り道に「勉強ができる鉛筆」と書かれた鉛筆を拾う。その鉛筆は握っていると笑い声が聞こえてきたり、泣き声が聞こえたりする不思議な鉛筆だった。
まみはその鉛筆を使って学校の予習や復習をなんとか毎日取り組むようにする。鉛筆から聞こえる笑い声や鳴き声に邪魔されながらも、自宅ではその鉛筆を使って学習するようにした。学校では先生や友達に勉強の分からない箇所を聞いたりして、以前よりも勉強に真面目に取り組むようになる。
その結果、いつの間にか勉強が自然と分かるようになり、「勉強ができる鉛筆」を使わなくても自分自身の力でテストで良い点が取れるくらい勉強ができるようになっていた。そんな時に自宅で「勉強ができる鉛筆」を握ってみると、もう笑い声も泣き声も聞こえなくなっていた。",558882,11860,NULL
NULL,html-keyboard-response,6,1303864,0.0-6.0,4409144,structured,2025/8/8 11:36,2025/8/8 11:58,debrief,NULL,5674, ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押して、謝金の支払いに関わる最後の質問に移行してください。</p>
1,preload,0,45,0.0-0.0,6492409,structured,2025/8/8 11:34,2025/8/8 11:57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,fullscreen,1,3288,0.0-1.0,6492409,structured,2025/8/8 11:34,2025/8/8 11:57,FullScreen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,instructions,2,184193,0.0-2.0,6492409,structured,2025/8/8 11:34,2025/8/8 11:57,structure_outline_inst_tl,Array,180903,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,survey-html-form,3,664217,0.0-3.0,6492409,structured,2025/8/8 11:34,2025/8/8 11:57,structure_outline_task,NULL,NULL,Array,アナと雪の女王,"・ある国に二人の王族の姉妹がいた
・姉妹の両親は死亡しており、姉が取り仕切ることになっていた
・しかし、姉は炎を操る魔法の力を持っていた
・妹には隠していたが、戴冠式でその魔法を間違って使って妹を傷つけてしまい、逃亡した","・戻ろうとしない姉と連れ戻そうとする妹の追跡劇が始まる
・姉は感情が高ぶるとほかのものも燃やしてしまい、どんどん孤立をはかるが、妹はあきらめず対話を試みる","・姉は自分のことを思っていくれる妹に心を打たれ、愛する国と妹のために帰国する決心をする
・姉が妹にその能力のことを正直に話し、うまくつきあっていこうということで完結",NULL,NULL,NULL,NULL
NULL,instructions,4,701821,0.0-4.0,6492409,structured,2025/8/8 11:34,2025/8/8 11:57,main_task_inst_tl,Array,37601,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,html-keyboard-response,5,1379256,0.0-5.0,6492409,structured,2025/8/8 11:34,2025/8/8 11:57,writing_block,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ある国に姉のアサと妹のエマという王族の姉妹がいた。両親は死亡しており、姉が王女になる戴冠式を迎えようとしていた。だが、アサには炎を操る魔法の能力があり、関h上の高ぶりが悪化させるものであった。しかし、そのことを隠して生きてきた。戴冠式当日になり、緊張したアサは魔法が誤って発揮されてしまった。それでエマはやけどしてしまい、アサは怖くなり、逃亡してしまった。エマはなぜアサがいなくなってしまったのか分からず、必死で追いかけた。エマも国も傷つけたくないアサは慌ててるあまり、魔法を何度も使ってしまい町中を焼いてしまう。それでも、エマはアサのために多くの人の協力のもと、アサのもとに追いつく。二人は話し合い、たくさんけんかしたが、やがて、二人ともお互いのことを想っていることに気づき、和解する。このような苦難を乗り越え帰国し、うまく能力を付き合いながら生きていくことを決心した。,677427,9002,NULL
